"site","id","date","WAT20"
"MUDS2","103",2012-05-19,0.004
"MUDS2","103",2012-05-20,0
"MUDS2","103",2012-05-21,0
"MUDS2","103",2012-05-22,0
"MUDS2","103",2012-05-23,0
"MUDS2","103",2012-05-24,0
"MUDS2","103",2012-05-25,0
"MUDS2","103",2012-05-26,0
"MUDS2","103",2012-05-27,0
"MUDS2","103",2012-05-28,0
"MUDS2","103",2012-05-29,0
"MUDS2","103",2012-05-30,0
"MUDS2","103",2012-05-31,0
"MUDS2","103",2012-06-01,0
"MUDS2","103",2012-06-02,0
"MUDS2","103",2012-06-03,0
"MUDS2","103",2012-06-04,0
"MUDS2","103",2012-06-05,0
"MUDS2","103",2012-06-06,0
"MUDS2","103",2012-06-07,0
"MUDS2","103",2012-06-08,0
"MUDS2","103",2012-06-09,0
"MUDS2","103",2012-06-10,0
"MUDS2","103",2012-06-11,0
"MUDS2","103",2012-06-12,0
"MUDS2","103",2012-06-13,0
"MUDS2","103",2012-06-14,0
"MUDS2","103",2012-06-15,0
"MUDS2","103",2012-06-16,0
"MUDS2","103",2012-06-17,0
"MUDS2","103",2012-06-18,0
"MUDS2","103",2012-06-19,0
"MUDS2","103",2012-06-20,0
"MUDS2","103",2012-06-21,0
"MUDS2","103",2012-06-22,0
"MUDS2","103",2012-06-23,0
"MUDS2","103",2012-06-24,0
"MUDS2","103",2012-06-25,0
"MUDS2","103",2012-06-26,0
"MUDS2","103",2012-06-27,0
"MUDS2","103",2012-06-28,0
"MUDS2","103",2012-06-29,0
"MUDS2","103",2012-06-30,0
"MUDS2","103",2012-07-01,0
"MUDS2","103",2012-07-02,0
"MUDS2","103",2012-07-03,0
"MUDS2","103",2012-07-04,0
"MUDS2","103",2012-07-05,0
"MUDS2","103",2012-07-06,0
"MUDS2","103",2012-07-07,0
"MUDS2","103",2012-07-08,0
"MUDS2","103",2012-07-09,0
"MUDS2","103",2012-07-10,0
"MUDS2","103",2012-07-11,0
"MUDS2","103",2012-07-12,0
"MUDS2","103",2012-07-13,0
"MUDS2","103",2012-07-14,0
"MUDS2","103",2012-07-15,0
"MUDS2","103",2012-07-16,0
"MUDS2","103",2012-07-17,0
"MUDS2","103",2012-07-18,0
"MUDS2","103",2012-07-19,0
"MUDS2","103",2012-07-20,0
"MUDS2","103",2012-07-21,0
"MUDS2","103",2012-07-22,0
"MUDS2","103",2012-07-23,0
"MUDS2","103",2012-07-24,0
"MUDS2","103",2012-07-25,0
"MUDS2","103",2012-07-26,0
"MUDS2","103",2012-07-27,0
"MUDS2","103",2012-07-28,0
